applicationId,sido,sigungu,houseType,areaM2,deposit,housePrice,seniorAmount,appliedAt
A-2026-0001,서울,강서구,아파트,84.9,350000000,500000000,0,2026-07-01
A-2026-0002,서울,관악구,다세대주택,45.2,280000000,290000000,80000000,2026-07-02
A-2026-0003,인천,미추홀구,오피스텔,29.8,190000000,200000000,140000000,2026-07-03
A-2026-0004,경기,부천시,연립주택,52.1,220000000,270000000,0,2026-07-05
A-2026-0005,서울,송파구,아파트,59.9,620000000,900000000,0,2026-07-08
A-2026-0006,경기,수원시,오피스텔,33.4,210000000,220000000,0,2026-07-10
A-2026-0007,부산,해운대구,아파트,84.5,300000000,430000000,50000000,2026-07-12
A-2026-0008,서울,강북구,다세대주택,38.7,240000000,250000000,60000000,2026-07-14
A-2026-0009,대전,유성구,아파트,74.2,250000000,380000000,0,2026-07-15
A-2026-0010,경기,성남시,연립주택,49.5,260000000,300000000,90000000,2026-07-18
A-2026-0011,인천,부평구,다세대주택,41.3,200000000,215000000,0,2026-07-20
A-2026-0012,서울,마포구,오피스텔,27.6,230000000,240000000,110000000,2026-07-22
